,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
535,536,Merapi,G. H. Peters,11 de mayo de 1904,Obs. Naval de los Estados Unidos
536,537,Pauly,A. H. Charlois,7 de julio de 1904,Observatorio de Niza
537,538,Friederike,P. Götz,18 de julio de 1904,Observatorio de Heidelberg-Königstuhl
538,539,Pamina,M. F. Wolf,2 de agosto de 1904,Observatorio de Heidelberg-Königstuhl
539,540,Rosamunde,M. F. Wolf,3 de agosto de 1904,Observatorio de Heidelberg-Königstuhl
540,541,Deborah,M. F. Wolf,4 de agosto de 1904,Observatorio de Heidelberg-Königstuhl
541,542,Susanna,P. Götz; A. Kopff,15 de agosto de 1904,Observatorio de Heidelberg-Königstuhl
542,543,Charlotte,P. Götz,11 de septiembre de 1904,Observatorio de Heidelberg-Königstuhl
543,544,Jetta,P. Götz,11 de septiembre de 1904,Observatorio de Heidelberg-Königstuhl
544,545,Messalina,P. Götz,3 de octubre de 1904,Observatorio de Heidelberg-Königstuhl
545,546,Herodias,P. Götz,10 de octubre de 1904,Observatorio de Heidelberg-Königstuhl
546,547,Praxedis,P. Götz,14 de octubre de 1904,Observatorio de Heidelberg-Königstuhl
547,548,Kressida,P. Götz,14 de octubre de 1904,Observatorio de Heidelberg-Königstuhl
548,549,Jessonda,M. F. Wolf,15 de noviembre de 1904,Observatorio de Heidelberg-Königstuhl
549,550,Senta,M. F. Wolf,16 de noviembre de 1904,Observatorio de Heidelberg-Königstuhl
550,551,Ortrud,M. F. Wolf,16 de noviembre de 1904,Observatorio de Heidelberg-Königstuhl
551,552,Sigelinde,M. F. Wolf,14 de diciembre de 1904,Observatorio de Heidelberg-Königstuhl
552,553,Kundry,M. F. Wolf,27 de diciembre de 1904,Observatorio de Heidelberg-Königstuhl
553,554,Peraga,P. Götz,8 de enero de 1905,Observatorio de Heidelberg-Königstuhl
554,555,Norma,M. F. Wolf,14 de enero de 1905,Observatorio de Heidelberg-Königstuhl
555,556,Phyllis,P. Götz,8 de enero de 1905,Observatorio de Heidelberg-Königstuhl
556,557,Violetta,M. F. Wolf,26 de enero de 1905,Observatorio de Heidelberg-Königstuhl
557,558,Carmen,M. F. Wolf,9 de febrero de 1905,Observatorio de Heidelberg-Königstuhl
558,559,Nanon,M. F. Wolf,8 de marzo de 1905,Observatorio de Heidelberg-Königstuhl
559,560,Delila,M. F. Wolf,13 de marzo de 1905,Observatorio de Heidelberg-Königstuhl
560,561,Ingwelde,M. F. Wolf,26 de marzo de 1905,Observatorio de Heidelberg-Königstuhl
561,562,Salome,M. F. Wolf,3 de abril de 1905,Observatorio de Heidelberg-Königstuhl
562,563,Suleika,P. Götz,6 de abril de 1905,Observatorio de Heidelberg-Königstuhl
563,564,Dudu,P. Götz,9 de mayo de 1905,Observatorio de Heidelberg-Königstuhl
564,565,Marbachia,M. F. Wolf,9 de mayo de 1905,Observatorio de Heidelberg-Königstuhl
565,566,Stereoskopia,P. Götz,28 de mayo de 1905,Observatorio de Heidelberg-Königstuhl
566,567,Eleutheria,P. Götz,28 de mayo de 1905,Observatorio de Heidelberg-Königstuhl
567,568,Cheruskia,P. Götz,26 de julio de 1905,Observatorio de Heidelberg-Königstuhl
568,569,Misa,J. Palisa,27 de julio de 1905,Observatorio de Viena
569,570,Kythera,M. F. Wolf,30 de julio de 1905,Observatorio de Heidelberg-Königstuhl
570,571,Dulcinea,P. Götz,4 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
571,572,Rebekka,P. Götz,19 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
572,573,Recha,M. F. Wolf,19 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
573,574,Reginhild,M. F. Wolf,19 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
574,575,Renate,M. F. Wolf,19 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
575,576,Emanuela,P. Götz,22 de septiembre de 1905,Observatorio de Heidelberg-Königstuhl
576,577,Rhea,M. F. Wolf,20 de octubre de 1905,Observatorio de Heidelberg-Königstuhl
577,578,Happelia,M. F. Wolf,1 de noviembre de 1905,Observatorio de Heidelberg-Königstuhl
578,579,Sidonia,A. Kopff,3 de noviembre de 1905,Observatorio de Heidelberg-Königstuhl
579,580,Selene,M. F. Wolf,17 de diciembre de 1905,Observatorio de Heidelberg-Königstuhl
580,581,Tauntonia,J. H. Metcalf,24 de diciembre de 1905,Observatorio de Taunton
