fecha,siglas,open,high,low,close,volume
2020-10-14,TSLA,449.7800,465.9000,447.3500,461.3000,48045394
2020-10-13,TSLA,443.3500,448.8900,436.6000,446.6500,34463665
2020-10-12,TSLA,442.0000,448.7400,438.5800,442.3000,38791133
2020-10-09,TSLA,430.1300,434.5899,426.4601,434.0000,28925656
2020-10-08,TSLA,438.4400,439.0000,425.3000,425.9200,40421116
2020-10-07,TSLA,419.8700,429.9000,413.8450,425.3000,43127709
2020-10-06,TSLA,423.7900,428.7799,406.0500,413.9800,49146259
2020-10-05,TSLA,423.3500,433.6400,419.3300,425.6800,44722786
2020-10-02,TSLA,421.3900,439.1300,415.0000,415.0900,71430025
2020-10-01,TSLA,440.7600,448.8800,434.4200,448.1600,50741454
2020-09-30,TSLA,421.3200,433.9300,420.4700,429.0100,48145566
2020-09-29,TSLA,416.0000,428.5000,411.6000,419.0700,50341404
2020-09-28,TSLA,424.6200,428.0800,415.5500,421.2000,49719561
2020-09-25,TSLA,393.4700,408.7323,391.3000,407.3400,67208459
2020-09-24,TSLA,363.8000,399.5000,351.3000,387.7900,96561061
2020-09-23,TSLA,405.1600,412.1500,375.8801,380.3600,95074176
2020-09-22,TSLA,429.6000,437.7600,417.6001,424.2300,79580795
2020-09-21,TSLA,453.1300,455.6800,407.0700,449.3900,109476800
2020-09-18,TSLA,447.9400,451.0000,428.8000,442.1500,86406819
2020-09-17,TSLA,415.6000,437.7900,408.0001,423.4300,76779163
2020-09-16,TSLA,439.8700,457.7900,435.3100,441.7600,72546760
2020-09-15,TSLA,436.5600,461.9400,430.7000,449.7600,97298228
2020-09-14,TSLA,380.9500,420.0000,373.3000,419.6200,83020608
2020-09-11,TSLA,381.9400,382.5000,360.5000,372.7200,60717459
2020-09-10,TSLA,386.2100,398.9900,360.5600,371.3400,84930608
2020-09-09,TSLA,356.6000,369.0000,341.5100,366.2800,79465769
